"","X.1","X","ccode","new_tc","new_tc_dummy","num_tc","tc_tally","cluster_1","cluster_size1","cluster_length1","cluster_2","cluster_size2","cluster_length2","cluster_3","cluster_size3","cluster_length3","cluster_4","cluster_size4","cluster_length4","cluster_5","cluster_size5","cluster_length5","unique_id","year","area","area_1000","area_1000_log","country_age","democ","durable","elec_dem_vdem","elf","event_num","exist_tc","fighting_wtc","first_tc","first_tc_alt","force_lin_decay","force_t10","force_t20","forceful","lib_dem_vdem","lmtnest","polity2","iso_a2","region","region2","un_region","state_name","tc_persists_alt","birth_type","hs_capacity","hs_capacity_sd","lag_fragility","fragility","cowintraongoing","cowintraonset","cow_inter","cold_war","post_cold_war","v2terr","pitf_sf","pitf_effect","pitf_legit","v2svstterr","v2svstterr_codelow","v2svstterr_codehigh","v2svstterr_sd","v2svstterr_mean","fail","alt_stop","alt_start"
"1",1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1981,1981,22209,22.20899963,3.100497595,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"2",2,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1982,1982,22209,22.20899963,3.100497595,2,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"3",3,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1983,1983,22209,22.20899963,3.100497595,3,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"4",4,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1984,1984,22209,22.20899963,3.100497595,4,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3
"5",5,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1985,1985,22209,22.20899963,3.100497595,5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4
"6",6,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1986,1986,22209,22.20899963,3.100497595,6,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5
"7",7,7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1987,1987,22209,22.20899963,3.100497595,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6
"8",8,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1988,1988,22209,22.20899963,3.100497595,8,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7
"9",9,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1989,1989,22209,22.20899963,3.100497595,9,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8
"10",10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.199,1990,22209,22.20899963,3.100497595,10,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,"BZ","LatAm and Car","Latin America and the Caribbeans","Central America","Belize",0,3,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9
